Category,Subcategory,Example (literal or template),Severity (High/Medium/Low),Why it reads as AI,Human alternative / fix
Lexical/Framing,Openers,In today's fast-paced world,High,"Stock, contextless openings frequently overused by LLMs; set a generic, 'safe' tone.","Start with a concrete fact, date, or scene; name proper nouns; drop the throat‑clearing."
Lexical/Framing,Openers,In the ever-evolving landscape of [X],High,"Stock, contextless openings frequently overused by LLMs; set a generic, 'safe' tone.","Start with a concrete fact, date, or scene; name proper nouns; drop the throat‑clearing."
Lexical/Framing,Openers,In the realm of [X],High,"Stock, contextless openings frequently overused by LLMs; set a generic, 'safe' tone.","Start with a concrete fact, date, or scene; name proper nouns; drop the throat‑clearing."
Lexical/Framing,Openers,In the dynamic world of [X],Medium,"Stock, contextless openings frequently overused by LLMs; set a generic, 'safe' tone.","Start with a concrete fact, date, or scene; name proper nouns; drop the throat‑clearing."
Lexical/Framing,Openers,Across the [X] landscape,Medium,"Stock, contextless openings frequently overused by LLMs; set a generic, 'safe' tone.","Start with a concrete fact, date, or scene; name proper nouns; drop the throat‑clearing."
Lexical/Framing,Openers,"From ancient times to today, [X]",Medium,"Stock, contextless openings frequently overused by LLMs; set a generic, 'safe' tone.","Start with a concrete fact, date, or scene; name proper nouns; drop the throat‑clearing."
Lexical/Framing,Openers,Let's dive in,High,"Stock, contextless openings frequently overused by LLMs; set a generic, 'safe' tone.","Start with a concrete fact, date, or scene; name proper nouns; drop the throat‑clearing."
Lexical/Framing,Openers,Let's break it down,High,"Stock, contextless openings frequently overused by LLMs; set a generic, 'safe' tone.","Start with a concrete fact, date, or scene; name proper nouns; drop the throat‑clearing."
Lexical/Framing,Openers,This article aims to [explore/outline/examine] [X],Medium,"Stock, contextless openings frequently overused by LLMs; set a generic, 'safe' tone.","Start with a concrete fact, date, or scene; name proper nouns; drop the throat‑clearing."
Lexical/Framing,Openers,"At its core, [X] is [Y]",High,"Stock, contextless openings frequently overused by LLMs; set a generic, 'safe' tone.","Start with a concrete fact, date, or scene; name proper nouns; drop the throat‑clearing."
Lexical/Framing,Openers,"In essence, [X]",Medium,"Stock, contextless openings frequently overused by LLMs; set a generic, 'safe' tone.","Start with a concrete fact, date, or scene; name proper nouns; drop the throat‑clearing."
Lexical/Framing,Openers,It is important to note that [X],High,"Stock, contextless openings frequently overused by LLMs; set a generic, 'safe' tone.","Start with a concrete fact, date, or scene; name proper nouns; drop the throat‑clearing."
Lexical/Framing,Openers,It is worth noting that [X],High,"Stock, contextless openings frequently overused by LLMs; set a generic, 'safe' tone.","Start with a concrete fact, date, or scene; name proper nouns; drop the throat‑clearing."
Lexical/Framing,Openers,"In this day and age, [X]",Medium,"Stock, contextless openings frequently overused by LLMs; set a generic, 'safe' tone.","Start with a concrete fact, date, or scene; name proper nouns; drop the throat‑clearing."
Lexical/Framing,Openers,"In this context, [X]",Medium,"Stock, contextless openings frequently overused by LLMs; set a generic, 'safe' tone.","Start with a concrete fact, date, or scene; name proper nouns; drop the throat‑clearing."
Lexical/Word choice,AI-scent vocabulary,delve,High,"Overrepresented in AI outputs, especially as abstract puffery or neutral corporateese.","Prefer plain verbs ('use', 'try', 'test'); swap abstractions for specifics; cut puffery."
Lexical/Word choice,AI-scent vocabulary,delved,High,"Overrepresented in AI outputs, especially as abstract puffery or neutral corporateese.","Prefer plain verbs ('use', 'try', 'test'); swap abstractions for specifics; cut puffery."
Lexical/Word choice,AI-scent vocabulary,delving,High,"Overrepresented in AI outputs, especially as abstract puffery or neutral corporateese.","Prefer plain verbs ('use', 'try', 'test'); swap abstractions for specifics; cut puffery."
Lexical/Word choice,AI-scent vocabulary,delve into,High,"Overrepresented in AI outputs, especially as abstract puffery or neutral corporateese.","Prefer plain verbs ('use', 'try', 'test'); swap abstractions for specifics; cut puffery."
Lexical/Word choice,AI-scent vocabulary,deep dive,Medium,"Overrepresented in AI outputs, especially as abstract puffery or neutral corporateese.","Prefer plain verbs ('use', 'try', 'test'); swap abstractions for specifics; cut puffery."
Lexical/Word choice,AI-scent vocabulary,deep dive into,Medium,"Overrepresented in AI outputs, especially as abstract puffery or neutral corporateese.","Prefer plain verbs ('use', 'try', 'test'); swap abstractions for specifics; cut puffery."
Lexical/Word choice,AI-scent vocabulary,explore the intricacies of,Medium,"Overrepresented in AI outputs, especially as abstract puffery or neutral corporateese.","Prefer plain verbs ('use', 'try', 'test'); swap abstractions for specifics; cut puffery."
Lexical/Word choice,AI-scent vocabulary,navigate the complexities of,Medium,"Overrepresented in AI outputs, especially as abstract puffery or neutral corporateese.","Prefer plain verbs ('use', 'try', 'test'); swap abstractions for specifics; cut puffery."
Lexical/Word choice,AI-scent vocabulary,unlock the power of,Medium,"Overrepresented in AI outputs, especially as abstract puffery or neutral corporateese.","Prefer plain verbs ('use', 'try', 'test'); swap abstractions for specifics; cut puffery."
